posted_date,occurrence_date,time,city,state,shape,duration,summary
6/25/20,4/29/20,19:18,Melbourne,FL,Light,4 minutes,Line of traveling white lights disappear one by one over Melbourne FL.
6/25/20,4/29/20,16:45,Holt,FL,Rectangle,45 seconds,Witnessed oblong metallic object sit motionless in sky for 30 seconds before slowly flying away.
6/25/20,4/29/20,04:15,Frostproof,FL,Light,3 seconds,I saw a very bright very green light descend over Lake Clinch.
6/25/20,4/12/20,22:35,Wellington,FL,Circle,6 seconds,3 big white lights on v shape formation heading south 190. No sound and you can see them through the clouds.
6/25/20,4/7/20,19:30,Boca Raton,FL,Light,30 seconds,Blue Green Oval Light with orange sparks seen streaking in the evening sky.
6/25/20,4/7/20,18:45,Fort Lauderdale,FL,Fireball,10 seconds,While seated looking east from a 10th floor I suddenly saw a large Fireball descend to what appeared to be almost 200 feet in altitude.
6/25/20,12/16/19,16:00,Fort Lauderdale,FL,Light,Outside,Flash of blue lights fly across the sky.
6/25/20,6/20/06,10:30,Jacksonville Beach,FL,Rectangle,30 seconds,Flying rectangle with an irregular flight pattern with green lights.
5/21/20,3/21/20,11:15,New Smyrna Beach,FL,Disk,10 minutes,Bright disc-shaped object that jukes around and then vanishes in blue skies.
5/15/20,3/18/20,20:00,Orlando,FL,Disk,15 minutes,bright light to the west and top of atmosphere. I used my telescope and saw it was a group of craft.
5/7/20,4/8/20,22:44,Boca raton,FL,Fireball,12 minutes,Fireball in the sky. Remained stationary for several minutes.
5/7/20,3/26/20,17:35,Land O'Lakes,FL,Sphere,7,Black Sphere moving south at high rate speed (Multiple Daily Sightings).
4/9/20,4/2/20,07:00,Delray,FL,Cigar,30 seconds,In the air bright white image not seeming to move as I was watching then disappeared.over st road 441 around 7am to 7:15.
4/9/20,3/8/20,23:57,Palm Harbor,FL,Sphere,15 seconds,Looked out my third-floor balcony to see a large round orange light slowly moving east. It continued east and then vanished.
4/9/20,3/4/20,20:00,Dade City,FL,Circle,Hours,Strange bright pulsating light looks like a orange ball inside the light pulsating.
4/9/20,3/19/16,01:00,DeLand,FL,Cone,2 hours,((HOAX??)) We observed a craft covered in orange lights hovering in the lake. There were 2 smaller saucer shaped craft hovering.
2/25/20,2/23/20,16:00,Lake Worth Beach,FL,Light,15 minutes,2 lights off coast of lake worth beach over ocean. Turned black and disappeared into the water or horizon.
2/13/20,2/9/20,07:45,Sarasota,FL,Sphere,1 hour +,Glowing ball of light over West/Southwest sky. Did not move at all. Definitely not Venus.
2/7/20,1/12/20,18:50,Sebastian Inlet,FL,Formation,20 minutes,Nearly 100 Starlike &quot;Lights&quot; moving rapidly in a straight line formation and then disappearing.
2/7/20,1/11/20,01:00,Ponte Vedra Beach,FL,Oval,10 seconds,Large bright blue/ green object traveling at light speed dropped out if the sky and towards the ground and disappeared.
2/7/20,1/9/20,10:30,Dunnellon,FL,Cigar,5 minutes,HUGE OBLONG SHAPED SILVER/METALLIC OBJECT PHOTOGRAPHED OVER DUNNELLON FL.
2/7/20,12/31/19,23:55,Wesley Chapel,FL,Light,30 minutes,8-9 Disc shaped lights moving south about 1000 feet up with no sound.
