posted_date,occurrence_date,time,city,state,shape,duration,summary
8/16/21,6/24/21,17:45,New York City (Manhattan),NY,Flash,10 minutes,Saw an extremely bright light late in the afternoon traveling at a very high altitude.
8/16/21,6/23/21,15:15,Solon,OH,Other,5 minutes,Observed an unknown object flying over a cloud that resembled a helicopter with no rotors.
8/16/21,6/19/21,19:00,Chicago,IL,Light,30 minutes,Single file formation of shiny upright ovals.
8/16/21,6/18/21,16:50,Spokane Valley,WA,Rectangle,4 seconds,Red metallic rectangular shaped object spinning horizontally in sky.
8/16/21,6/16/21,16:30,Muskegon,MI,Cigar,20 minutes,Bright white object seen during the day. 20 minutes later large cigarshaped UFO flies by.
8/16/21,6/13/21,18:30,Houston,TX,Disk,Unknown,Unexpected capture of a UFO in a picture I took of clouds and the sun's rays.
8/16/21,6/12/21,00:00,Riverview,FL,Cylinder,6 sec,Object hovering then disappearing as seen from approximately one mile.
8/16/21,5/16/21,12:00,Hermitage,TN,Oval,1 min,Ball or round object very high about 25000 feet following Passenger jets.
8/16/21,5/15/21,18:00,Ocean Shores,WA,Light,90 seconds,10 to 15 lights moving slowly over my beach house in a moving group.
8/16/21,4/20/21,06:20,Pompano Beach,FL,Triangle,15 seconds,An unexpected triangular object with light flames surrounding it appeared near my balcony in Florida before heading out to sea.
8/16/21,4/9/21,21:59,Dayton,OH,Fireball,13 minutes,About 20 fireballs seemed to rise from ground in groups of 3-4 rising slow to the west. Then going east after the fire glow stops.
8/16/21,3/11/21,18:30,Marathon,FL,Sphere,1 hour,Strange craft during sunset in the Florida Keys.
8/16/21,11/23/20,22:41,Bethany Beach,DE,Circle,20 minutes,Observed a spinning circle which emitted various colors in a flared fashion as it moved in an irregular path in the night sky.
8/16/21,9/3/20,17:08,Dubuque,IA,Formation,10 mins,Formation of 50+ lights in the sky.
8/16/21,7/20/20,22:00,Marathon,FL,Light,1 minute at a time,Dim lights that appeared every night over Marathon Florida for a week moving mostly erratically than disappearing silently.
8/16/21,2/16/20,07:30,Seattle,WA,Unknown,10 minutes,Bright light on object.
8/16/21,9/29/15,22:10,Tucson,AZ,Light,1 minute,Strange bright blue-white light illuminates entire home then soundlessly vanishes.
8/16/21,10/20/01,02:00,Arlington,VA,Changing,18 minutes approx.,I don't know these people. We are not friends.
8/16/21,7/15/01,22:00,Santa Cruz,CA,Other,60 seconds,Moon in different places in the sky.
8/16/21,4/15/97,23:30,Mccall,ID,Other,20 minutes,A swarm of dozens of dim lights in the night sky.
8/16/21,6/15/79,22:15,Conyers,GA,Disk,5 minutes,Silver disc saucer or oval shaped craft with amber lights hovered above transformer in our yard.
8/16/21,5/1/78,00:30,Clarence Center,NY,Egg,3-5 min,A brief up close interaction with a massive UFO.
8/16/21,7/13/73,23:00,Salt Lake City,UT,Oval,15 min,Shocking soft green lights floating in my yard.
7/31/21,6/21/21,14:45,San Jose,CA,Cylinder,10 Seconds,Capsule/Cylinder shaped object.
7/31/21,6/21/21,03:55,Yuba Gap,CA,Diamond,5 to 10 seconds,Diamond shaped object flying low in the Sierra Nevada.
7/31/21,6/20/21,08:35,Summerville,SC,Rectangle,3 minutes,I saw small metallic shiny rotating rectangle like box flying over my house and neighborhood.
7/31/21,6/19/21,23:30,Beckley,WV,Light,2 minutes,Lighted object flies directly at United 1520 and makes sharp maneuver.
7/31/21,6/18/21,01:00,Downingtown,PA,Circle,1 hour,Multiple slow moving craft seen all over the sky during early morning hours.
7/31/21,6/18/21,00:10,Highland Mills,NY,Sphere,2 minutes,A sphere of light was flying in front of my ring camera and a sound came out of it ..
7/31/21,6/15/21,20:00,Longmont,CO,Circle,35,White circular object appeared to be static in movement before a strong elevation gain an the foothills of the Rocky Mountains.
7/31/21,6/13/21,17:00,Marshfield,MA,Sphere,20 seconds,Silvery object traveling westerly.
7/31/21,6/11/21,02:28,Desert Center,CA,Other,5 min,Not sure if UFO or Satellite but it’s so obvious super bright round mushroom head & lighter light on the bottom stem.
